row_rank,role_rank,job_role,skills,count,stackoverflow_question_count_180d
128,28,Data Analyst,Scala,1,22
129,29,Data Analyst,Cloudflare,1,16
130,30,Data Analyst,GraphQL,1,11
131,31,Data Analyst,SAS,1,11
132,32,Data Analyst,Vertex AI,1,8
133,33,Data Analyst,Apache Flink,1,7
134,34,Data Analyst,Neo4j,1,3
135,35,Data Analyst,Figma,1,2
136,36,Data Analyst,Splunk,1,1
137,1,Data Engineer / Data Platform,Python,10,1630
138,2,Data Engineer / Data Platform,Apache Spark,10,30
139,3,Data Engineer / Data Platform,Go,8,44
140,4,Data Engineer / Data Platform,Kubernetes,7,27
141,5,Data Engineer / Data Platform,Java,6,751
142,6,Data Engineer / Data Platform,SQL,6,237
143,7,Data Engineer / Data Platform,GCP,6,52
144,8,Data Engineer / Data Platform,Scala,6,22
145,9,Data Engineer / Data Platform,Airflow,6,18
146,10,Data Engineer / Data Platform,Apache Kafka,5,33
147,11,Data Engineer / Data Platform,dbt,5,11
148,12,Data Engineer / Data Platform,Apache Flink,5,7
149,13,Data Engineer / Data Platform,AWS,4,82
150,14,Data Engineer / Data Platform,Docker,3,109
151,15,Data Engineer / Data Platform,BigQuery,3,35
152,16,Data Engineer / Data Platform,Amazon S3,3,33
153,17,Data Engineer / Data Platform,Trino,3,5
154,18,Data Engineer / Data Platform,C++,2,790
155,19,Data Engineer / Data Platform,TypeScript,2,223
156,20,Data Engineer / Data Platform,PostgreSQL,2,185
157,21,Data Engineer / Data Platform,Rust,2,173
158,22,Data Engineer / Data Platform,MySQL,2,70
159,23,Data Engineer / Data Platform,MCP,2,25
160,24,Data Engineer / Data Platform,Terraform,2,15
161,25,Data Engineer / Data Platform,Apache Iceberg,2,6
162,26,Data Engineer / Data Platform,ClickHouse,2,6
163,27,Data Engineer / Data Platform,C#,1,690
164,28,Data Engineer / Data Platform,Linux,1,127
165,29,Data Engineer / Data Platform,Azure,1,113
166,30,Data Engineer / Data Platform,Bash,1,76
167,31,Data Engineer / Data Platform,PyTorch,1,53
168,32,Data Engineer / Data Platform,TensorFlow,1,32
169,33,Data Engineer / Data Platform,Snowflake,1,26
170,34,Data Engineer / Data Platform,Tableau,1,1
171,35,Data Engineer / Data Platform,Dagster,1,0
172,36,Data Engineer / Data Platform,Looker,1,0
173,37,Data Engineer / Data Platform,Pulumi,1,0
174,1,Engineering Management,Python,40,1630
175,2,Engineering Management,AWS,36,82
176,3,Engineering Management,GCP,29,52
177,4,Engineering Management,Go,29,44
178,5,Engineering Management,Azure,28,113
179,6,Engineering Management,Java,23,751
180,7,Engineering Management,Kubernetes,22,27
181,8,Engineering Management,TypeScript,21,223
182,9,Engineering Management,SQL,19,237
183,10,Engineering Management,Rust,19,173
184,11,Engineering Management,React,16,141
185,12,Engineering Management,MongoDB Atlas,16,6
186,13,Engineering Management,Claude,15,25
187,14,Engineering Management,C++,14,790
188,15,Engineering Management,JavaScript,12,734
189,16,Engineering Management,Terraform,11,15
190,17,Engineering Management,Linux,10,127
191,18,Engineering Management,PostgreSQL,8,185
192,19,Engineering Management,MCP,8,25
193,20,Engineering Management,GPT,8,16
194,21,Engineering Management,Node.js,7,219
195,22,Engineering Management,OpenAI Codex,7,7
196,23,Engineering Management,C#,6,690
197,24,Engineering Management,Android,6,489
198,25,Engineering Management,Ruby,6,23
199,26,Engineering Management,iOS,5,300
200,27,Engineering Management,Salesforce,5,12
201,28,Engineering Management,C,4,421
202,29,Engineering Management,Docker,4,109
203,30,Engineering Management,REST,4,72
204,31,Engineering Management,GitHub,4,67
205,32,Engineering Management,Apache Spark,4,30
206,33,Engineering Management,Transformers,4,12
207,34,Engineering Management,Grafana,4,11
208,35,Engineering Management,OpenTelemetry,4,10
209,36,Engineering Management,Apache Iceberg,4,6
210,37,Engineering Management,ClickHouse,4,6
211,38,Engineering Management,Datadog,4,3
212,39,Engineering Management,Kotlin,3,172
213,40,Engineering Management,Bash,3,76
214,41,Engineering Management,MySQL,3,70
215,42,Engineering Management,GitHub Actions,3,35
216,43,Engineering Management,Apache Kafka,3,33
217,44,Engineering Management,Airflow,3,18
218,45,Engineering Management,GraphQL,3,11
219,46,Engineering Management,Prometheus,3,8
220,47,Engineering Management,Bazel,3,7
221,48,Engineering Management,Helm,3,6
222,49,Engineering Management,Anthropic,3,3
223,50,Engineering Management,R,2,373
224,51,Engineering Management,CSS,2,310
225,52,Engineering Management,Swift,2,217
226,53,Engineering Management,.NET,2,174
227,54,Engineering Management,Git,2,126
228,55,Engineering Management,Next.js,2,124
229,56,Engineering Management,MongoDB,2,67
230,57,Engineering Management,PyTorch,2,53
231,58,Engineering Management,Redis,2,29
232,59,Engineering Management,Scala,2,22
233,60,Engineering Management,Ansible,2,8
234,61,Engineering Management,Cloudflare Workers,2,6
235,62,Engineering Management,ArgoCD,2,2
236,63,Engineering Management,Figma,2,2
237,64,Engineering Management,Buildkite,2,0
238,65,Engineering Management,CockroachDB,2,0
239,66,Engineering Management,PHP,1,252
240,67,Engineering Management,React Native,1,122
241,68,Engineering Management,VBA,1,108
242,69,Engineering Management,Express,1,46
243,70,Engineering Management,SQLite,1,43
244,71,Engineering Management,CUDA,1,38
245,72,Engineering Management,BigQuery,1,35
246,73,Engineering Management,Amazon S3,1,33
247,74,Engineering Management,TensorFlow,1,32
248,75,Engineering Management,Vue.js,1,30
249,76,Engineering Management,GitHub Copilot,1,27
250,77,Engineering Management,Snowflake,1,26
251,78,Engineering Management,Lua,1,25
252,79,Engineering Management,Databricks,1,24
253,80,Engineering Management,LangChain,1,24
254,81,Engineering Management,UIKit,1,20
255,82,Engineering Management,Objective-C,1,17
256,83,Engineering Management,SystemVerilog,1,17
257,84,Engineering Management,Cloudflare,1,16
258,85,Engineering Management,MATLAB,1,16
259,86,Engineering Management,Jenkins,1,15
260,87,Engineering Management,WebAssembly,1,14
261,88,Engineering Management,gRPC,1,13
262,89,Engineering Management,JAX,1,12
263,90,Engineering Management,Svelte,1,12
264,91,Engineering Management,dbt,1,11
265,92,Engineering Management,Elasticsearch,1,10
266,93,Engineering Management,Julia,1,10
267,94,Engineering Management,Cassandra,1,7
268,95,Engineering Management,Jira,1,7
269,96,Engineering Management,Hugging Face,1,5
270,97,Engineering Management,Vault,1,5
271,98,Engineering Management,AWS CloudFormation,1,4
272,99,Engineering Management,Nix,1,4
273,100,Engineering Management,Amazon EKS,1,3
274,101,Engineering Management,Bicep,1,3
275,102,Engineering Management,Hadoop,1,3
276,103,Engineering Management,NetSuite,1,3
277,104,Engineering Management,Okta,1,3
278,105,Engineering Management,Redux,1,2
279,106,Engineering Management,Cypress,1,1
280,107,Engineering Management,Tableau,1,1
281,108,Engineering Management,Envoy,1,0
282,109,Engineering Management,Looker,1,0
283,110,Engineering Management,MobX,1,0
284,111,Engineering Management,Vanta,1,0
285,1,Frontend,React,6,141
286,2,Frontend,TypeScript,4,223
287,3,Frontend,JavaScript,2,734
288,4,Frontend,Android,2,489
289,5,Frontend,HTML,2,399
290,6,Frontend,CSS,2,310
291,7,Frontend,iOS,2,300
292,8,Frontend,Node.js,2,219
293,9,Frontend,Angular,2,156
294,10,Frontend,Vue.js,2,30
295,11,Frontend,Webpack,2,7
296,12,Frontend,Java,1,751
297,13,Frontend,React Native,1,122
298,14,Frontend,Claude,1,25
299,15,Frontend,GPT,1,16
300,16,Frontend,Sass,1,11
301,17,Frontend,ESLint,1,3
302,18,Frontend,Redux,1,2
303,19,Frontend,Babel,1,1
304,1,Full-stack,React,19,141
305,2,Full-stack,TypeScript,13,223
306,3,Full-stack,Python,11,1630
307,4,Full-stack,Node.js,11,219
308,5,Full-stack,GitHub,9,67
309,6,Full-stack,Java,8,751
310,7,Full-stack,Go,8,44
311,8,Full-stack,Claude,7,25
312,9,Full-stack,GraphQL,7,11
313,10,Full-stack,GitHub Copilot,6,27
314,11,Full-stack,Kubernetes,6,27
315,12,Full-stack,Android,5,489
316,13,Full-stack,iOS,5,300
317,14,Full-stack,Docker,5,109
318,15,Full-stack,Apache Kafka,5,33
319,16,Full-stack,SQL,4,237
320,17,Full-stack,AWS,4,82
321,18,Full-stack,REST,4,72
322,19,Full-stack,Ruby,4,23
323,20,Full-stack,Vue.js,3,30
324,21,Full-stack,GPT,3,16
325,22,Full-stack,RabbitMQ,3,14
326,23,Full-stack,gRPC,3,13
327,24,Full-stack,JavaScript,2,734
328,25,Full-stack,Git,2,126
329,26,Full-stack,Next.js,2,124
330,27,Full-stack,Azure,2,113
331,28,Full-stack,GCP,2,52
332,29,Full-stack,Airflow,2,18
333,30,Full-stack,HTML,1,399
334,31,Full-stack,CSS,1,310
335,32,Full-stack,Swift,1,217
336,33,Full-stack,Rust,1,173
337,34,Full-stack,Kotlin,1,172
338,35,Full-stack,SwiftUI,1,169
339,36,Full-stack,Angular,1,156
340,37,Full-stack,Spring,1,138
341,38,Full-stack,MongoDB,1,67
342,39,Full-stack,Objective-C,1,17
343,40,Full-stack,OpenAI Codex,1,7
344,41,Full-stack,ClickHouse,1,6
345,42,Full-stack,Cloudflare Workers,1,6
346,43,Full-stack,Nix,1,4
347,44,Full-stack,Anthropic,1,3
348,45,Full-stack,Dagster,1,0
349,1,General Software Engineer,Python,282,1630
350,2,General Software Engineer,Go,199,44
351,3,General Software Engineer,TypeScript,172,223
352,4,General Software Engineer,Kubernetes,167,27
353,5,General Software Engineer,AWS,142,82
354,6,General Software Engineer,C++,132,790
355,7,General Software Engineer,Rust,126,173
356,8,General Software Engineer,Java,113,751
357,9,General Software Engineer,GCP,111,52
358,10,General Software Engineer,React,106,141
359,11,General Software Engineer,Azure,94,113
360,12,General Software Engineer,SQL,78,237
361,13,General Software Engineer,PostgreSQL,66,185
362,14,General Software Engineer,JavaScript,58,734
363,15,General Software Engineer,Linux,56,127
364,16,General Software Engineer,Terraform,56,15
365,17,General Software Engineer,GPT,52,16
366,18,General Software Engineer,Claude,51,25
367,19,General Software Engineer,Node.js,45,219
368,20,General Software Engineer,Apache Spark,43,30
369,21,General Software Engineer,Apache Kafka,36,33
370,22,General Software Engineer,Docker,31,109
371,23,General Software Engineer,OpenAI Codex,29,7
372,24,General Software Engineer,Ruby,27,23
373,25,General Software Engineer,Airflow,27,18
374,26,General Software Engineer,C#,26,690
375,27,General Software Engineer,GitHub,25,67
376,28,General Software Engineer,PyTorch,25,53
377,29,General Software Engineer,Grafana,23,11
378,30,General Software Engineer,Apache Flink,22,7
379,31,General Software Engineer,MongoDB Atlas,22,6
380,32,General Software Engineer,MySQL,21,70
381,33,General Software Engineer,Redis,21,29
382,34,General Software Engineer,Snowflake,21,26
383,35,General Software Engineer,Scala,19,22
384,36,General Software Engineer,Prometheus,19,8
385,37,General Software Engineer,Anthropic,18,3
386,38,General Software Engineer,Kotlin,17,172
387,39,General Software Engineer,TensorFlow,17,32
388,40,General Software Engineer,MCP,16,25
389,41,General Software Engineer,Android,15,489
390,42,General Software Engineer,MongoDB,15,67
391,43,General Software Engineer,GraphQL,15,11
392,44,General Software Engineer,Elasticsearch,15,10
393,45,General Software Engineer,Gradle,14,51
394,46,General Software Engineer,CUDA,14,38
395,47,General Software Engineer,Lua,14,25
396,48,General Software Engineer,JAX,14,12
397,49,General Software Engineer,Cassandra,14,7
398,50,General Software Engineer,Swift,13,217
399,51,General Software Engineer,BigQuery,13,35
400,52,General Software Engineer,Redux,13,2
401,53,General Software Engineer,C,12,421
402,54,General Software Engineer,iOS,12,300
403,55,General Software Engineer,Ruby on Rails,12,27
404,56,General Software Engineer,Trino,12,5
405,57,General Software Engineer,Apache Iceberg,11,6
406,58,General Software Engineer,Next.js,10,124
407,59,General Software Engineer,FastAPI,10,39
408,60,General Software Engineer,Salesforce,9,12
409,61,General Software Engineer,DynamoDB,9,5
410,62,General Software Engineer,Datadog,9,3
411,63,General Software Engineer,CockroachDB,9,0
412,64,General Software Engineer,CSS,8,310
413,65,General Software Engineer,Git,8,126
414,66,General Software Engineer,GitHub Actions,8,35
415,67,General Software Engineer,Databricks,8,24
416,68,General Software Engineer,WebAssembly,8,14
417,69,General Software Engineer,gRPC,8,13
418,70,General Software Engineer,Bazel,8,7
419,71,General Software Engineer,ClickHouse,8,6
420,72,General Software Engineer,Okta,8,3
421,73,General Software Engineer,Dependabot,8,2
422,74,General Software Engineer,Buildkite,8,0
423,75,General Software Engineer,Envoy,8,0
424,76,General Software Engineer,Snyk,8,0
425,77,General Software Engineer,Triton Inference Server,8,0
426,78,General Software Engineer,Zendesk,8,0
427,79,General Software Engineer,Pandas,7,106
428,80,General Software Engineer,GitHub Copilot,7,27
429,81,General Software Engineer,dbt,7,11
430,82,General Software Engineer,Figma,7,2
431,83,General Software Engineer,Dagster,7,0
432,84,General Software Engineer,Assembly,6,77
433,85,General Software Engineer,REST,6,72
434,86,General Software Engineer,Express,6,46
435,87,General Software Engineer,Amazon S3,6,33
436,88,General Software Engineer,Cloudflare Workers,6,6
437,89,General Software Engineer,NCCL,6,1
438,90,General Software Engineer,.NET,5,174
439,91,General Software Engineer,React Native,5,122
440,92,General Software Engineer,Bash,5,76
441,93,General Software Engineer,Transformers,5,12
442,94,General Software Engineer,OpenTelemetry,5,10
443,95,General Software Engineer,Slurm,5,7
444,96,General Software Engineer,Vault,5,5
445,97,General Software Engineer,Amazon EKS,5,3
446,98,General Software Engineer,Hadoop,5,3
447,99,General Software Engineer,CircleCI,5,0
448,100,General Software Engineer,Pulumi,5,0
449,101,General Software Engineer,Spring,4,138
450,102,General Software Engineer,Flask,4,28
451,103,General Software Engineer,Objective-C,4,17
452,104,General Software Engineer,Elixir,4,4
453,105,General Software Engineer,ArgoCD,4,2
454,106,General Software Engineer,HTML,3,399
455,107,General Software Engineer,Jetpack Compose,3,69
456,108,General Software Engineer,Vue.js,3,30
457,109,General Software Engineer,Vite,3,29
458,110,General Software Engineer,Jenkins,3,15
459,111,General Software Engineer,RabbitMQ,3,14
460,112,General Software Engineer,Webpack,3,7
461,113,General Software Engineer,AWS CloudFormation,3,4
462,114,General Software Engineer,SwiftUI,2,169
463,115,General Software Engineer,Angular,2,156
464,116,General Software Engineer,Django,2,76
465,117,General Software Engineer,GitLab CI,2,21
466,118,General Software Engineer,scikit-learn,2,21
467,119,General Software Engineer,NestJS,2,20
468,120,General Software Engineer,Jupyter,2,19
469,121,General Software Engineer,Cloudflare,2,16
470,122,General Software Engineer,GDB,2,12
471,123,General Software Engineer,Svelte,2,12
472,124,General Software Engineer,Ansible,2,8
473,125,General Software Engineer,Firestore,2,6
474,126,General Software Engineer,Helm,2,6
475,127,General Software Engineer,Redshift,2,5
476,128,General Software Engineer,Heroku,2,4
477,129,General Software Engineer,Nix,2,4
478,130,General Software Engineer,Kibana,2,3
479,131,General Software Engineer,NetSuite,2,3
480,132,General Software Engineer,Cypher,2,1
481,133,General Software Engineer,Google GKE,2,1
482,134,General Software Engineer,Istio,2,1
483,135,General Software Engineer,Splunk,2,1
484,136,General Software Engineer,PHP,1,252
485,137,General Software Engineer,Laravel,1,97
486,138,General Software Engineer,SQLite,1,43
487,139,General Software Engineer,GitLab,1,27
488,140,General Software Engineer,LangChain,1,24
489,141,General Software Engineer,Tailwind CSS,1,23
490,142,General Software Engineer,UIKit,1,20
491,143,General Software Engineer,Gemini,1,15
492,144,General Software Engineer,PyTest,1,15
493,145,General Software Engineer,SAS,1,11
494,146,General Software Engineer,Sass,1,11
495,147,General Software Engineer,Vercel,1,9
496,148,General Software Engineer,Amazon EC2,1,7
497,149,General Software Engineer,GLSL,1,7
498,150,General Software Engineer,Jira,1,7
499,151,General Software Engineer,Deno,1,4
500,152,General Software Engineer,TeamCity,1,4
501,153,General Software Engineer,ESLint,1,3
502,154,General Software Engineer,Llama,1,3
503,155,General Software Engineer,Neo4j,1,3
504,156,General Software Engineer,XGBoost,1,3
505,157,General Software Engineer,Solidity,1,2
506,158,General Software Engineer,Apache Pulsar,1,0
507,159,General Software Engineer,Groovy,1,0
508,160,General Software Engineer,Looker,1,0
509,161,General Software Engineer,Lucene,1,0
510,162,General Software Engineer,Starlark,1,0
511,163,General Software Engineer,Zookeeper,1,0
512,1,Infra / Platform / DevOps / SRE,Kubernetes,36,27
513,2,Infra / Platform / DevOps / SRE,Python,33,1630
514,3,Infra / Platform / DevOps / SRE,AWS,32,82
515,4,Infra / Platform / DevOps / SRE,Go,28,44
516,5,Infra / Platform / DevOps / SRE,GCP,27,52
517,6,Infra / Platform / DevOps / SRE,Linux,25,127
518,7,Infra / Platform / DevOps / SRE,Azure,22,113
519,8,Infra / Platform / DevOps / SRE,Terraform,21,15
520,9,Infra / Platform / DevOps / SRE,C++,11,790
521,10,Infra / Platform / DevOps / SRE,SQL,11,237
522,11,Infra / Platform / DevOps / SRE,Rust,11,173
523,12,Infra / Platform / DevOps / SRE,Docker,9,109
524,13,Infra / Platform / DevOps / SRE,Ansible,9,8
525,14,Infra / Platform / DevOps / SRE,PostgreSQL,8,185
526,15,Infra / Platform / DevOps / SRE,Grafana,8,11
527,16,Infra / Platform / DevOps / SRE,Prometheus,8,8
528,17,Infra / Platform / DevOps / SRE,Node.js,7,219
529,18,Infra / Platform / DevOps / SRE,MongoDB Atlas,6,6
530,19,Infra / Platform / DevOps / SRE,Java,5,751
531,20,Infra / Platform / DevOps / SRE,TypeScript,5,223
532,21,Infra / Platform / DevOps / SRE,Git,5,126
533,22,Infra / Platform / DevOps / SRE,PyTorch,5,53
534,23,Infra / Platform / DevOps / SRE,Claude,5,25
535,24,Infra / Platform / DevOps / SRE,Transformers,5,12
536,25,Infra / Platform / DevOps / SRE,Bash,4,76
537,26,Infra / Platform / DevOps / SRE,MCP,4,25
538,27,Infra / Platform / DevOps / SRE,OpenTelemetry,4,10
539,28,Infra / Platform / DevOps / SRE,Datadog,4,3
540,29,Infra / Platform / DevOps / SRE,ArgoCD,4,2
541,30,Infra / Platform / DevOps / SRE,Istio,4,1
542,31,Infra / Platform / DevOps / SRE,Pulumi,4,0
543,32,Infra / Platform / DevOps / SRE,JavaScript,3,734
544,33,Infra / Platform / DevOps / SRE,GitHub Actions,3,35
545,34,Infra / Platform / DevOps / SRE,TensorFlow,3,32
546,35,Infra / Platform / DevOps / SRE,Apache Spark,3,30
547,36,Infra / Platform / DevOps / SRE,Ruby,3,23
548,37,Infra / Platform / DevOps / SRE,GPT,3,16
549,38,Infra / Platform / DevOps / SRE,Helm,3,6
550,39,Infra / Platform / DevOps / SRE,Amazon EKS,3,3
551,40,Infra / Platform / DevOps / SRE,C,2,421
552,41,Infra / Platform / DevOps / SRE,Assembly,2,77
553,42,Infra / Platform / DevOps / SRE,MySQL,2,70
554,43,Infra / Platform / DevOps / SRE,MongoDB,2,67
555,44,Infra / Platform / DevOps / SRE,CUDA,2,38
556,45,Infra / Platform / DevOps / SRE,Airflow,2,18
557,46,Infra / Platform / DevOps / SRE,Amazon EC2,2,7
558,47,Infra / Platform / DevOps / SRE,Cassandra,2,7
559,48,Infra / Platform / DevOps / SRE,Jira,2,7
560,49,Infra / Platform / DevOps / SRE,ClickHouse,2,6
561,50,Infra / Platform / DevOps / SRE,AWS CloudFormation,2,4
562,51,Infra / Platform / DevOps / SRE,Hadoop,2,3
563,52,Infra / Platform / DevOps / SRE,Envoy,2,0
564,53,Infra / Platform / DevOps / SRE,Puppet,2,0
565,54,Infra / Platform / DevOps / SRE,C#,1,690
566,55,Infra / Platform / DevOps / SRE,Android,1,489
567,56,Infra / Platform / DevOps / SRE,iOS,1,300
568,57,Infra / Platform / DevOps / SRE,Kotlin,1,172
569,58,Infra / Platform / DevOps / SRE,React,1,141
570,59,Infra / Platform / DevOps / SRE,Pandas,1,106
571,60,Infra / Platform / DevOps / SRE,GitHub,1,67
572,61,Infra / Platform / DevOps / SRE,Amazon S3,1,33
573,62,Infra / Platform / DevOps / SRE,Apache Kafka,1,33
574,63,Infra / Platform / DevOps / SRE,Redis,1,29
575,64,Infra / Platform / DevOps / SRE,GitHub Copilot,1,27
576,65,Infra / Platform / DevOps / SRE,Nginx,1,27
577,66,Infra / Platform / DevOps / SRE,Cloudflare,1,16
578,67,Infra / Platform / DevOps / SRE,Jenkins,1,15
579,68,Infra / Platform / DevOps / SRE,gRPC,1,13
580,69,Infra / Platform / DevOps / SRE,Apache Flink,1,7
581,70,Infra / Platform / DevOps / SRE,OpenAI Codex,1,7
582,71,Infra / Platform / DevOps / SRE,Vault,1,5
583,72,Infra / Platform / DevOps / SRE,Nix,1,4
584,73,Infra / Platform / DevOps / SRE,Okta,1,3
585,74,Infra / Platform / DevOps / SRE,XGBoost,1,3
586,75,Infra / Platform / DevOps / SRE,Figma,1,2
587,76,Infra / Platform / DevOps / SRE,Cypress,1,1
588,77,Infra / Platform / DevOps / SRE,Splunk,1,1
589,78,Infra / Platform / DevOps / SRE,Buildkite,1,0
590,79,Infra / Platform / DevOps / SRE,Confluence,1,0
591,80,Infra / Platform / DevOps / SRE,Triton Inference Server,1,0
592,1,ML / AI Engineer / Data Scientist,Python,187,1630
593,2,ML / AI Engineer / Data Scientist,SQL,87,237
594,3,ML / AI Engineer / Data Scientist,GPT,46,16
595,4,ML / AI Engineer / Data Scientist,Claude,42,25
596,5,ML / AI Engineer / Data Scientist,TypeScript,36,223
597,6,ML / AI Engineer / Data Scientist,AWS,32,82
598,7,ML / AI Engineer / Data Scientist,GCP,32,52
599,8,ML / AI Engineer / Data Scientist,PyTorch,31,53
600,9,ML / AI Engineer / Data Scientist,JavaScript,29,734
601,10,ML / AI Engineer / Data Scientist,Apache Spark,27,30
602,11,ML / AI Engineer / Data Scientist,OpenAI Codex,25,7
603,12,ML / AI Engineer / Data Scientist,Azure,23,113
604,13,ML / AI Engineer / Data Scientist,Go,19,44
605,14,ML / AI Engineer / Data Scientist,MCP,19,25
606,15,ML / AI Engineer / Data Scientist,Kubernetes,18,27
607,16,ML / AI Engineer / Data Scientist,Java,17,751
608,17,ML / AI Engineer / Data Scientist,Airflow,17,18
609,18,ML / AI Engineer / Data Scientist,React,16,141
610,19,ML / AI Engineer / Data Scientist,TensorFlow,16,32
611,20,ML / AI Engineer / Data Scientist,Anthropic,16,3
612,21,ML / AI Engineer / Data Scientist,PostgreSQL,15,185
613,22,ML / AI Engineer / Data Scientist,R,14,373
614,23,ML / AI Engineer / Data Scientist,C++,13,790
615,24,ML / AI Engineer / Data Scientist,dbt,13,11
616,25,ML / AI Engineer / Data Scientist,LangChain,12,24
617,26,ML / AI Engineer / Data Scientist,Salesforce,12,12
618,27,ML / AI Engineer / Data Scientist,Git,11,126
619,28,ML / AI Engineer / Data Scientist,GitHub Copilot,11,27
620,29,ML / AI Engineer / Data Scientist,Snowflake,11,26
621,30,ML / AI Engineer / Data Scientist,GitHub,10,67
