technology,github_repo_query,github_activity_query,github_repository_count,github_issue_count_180d,github_pr_count_180d,github_activity_count_180d,github_repo_score,github_activity_score,repo_incomplete_results,issue_incomplete_results,pr_incomplete_results,sample_repositories,sample_issues_or_prs,from_date_utc,to_date_utc,metric_basis,metric_note
PyTorch,"pytorch in:name,description,readme",pytorch,1249398,78638,180253,258891,2.1732,0.5989,False,False,False,pytorch/pytorch; deeplearningzerotoall/PyTorch; Ascend/pytorch; hughperkins/pytorch; gyunggyung/PyTorch,https://github.com/jayeshrathod8419/pytorch_tutorial/issues/1; https://github.com/f0re-k1our-b/humans.txt/issues/1; https://github.com/SimpleTinyML/oneliner/issues/2,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
OpenAI Codex,"""openai codex"" OR codex in:name,description,readme","""openai codex"" OR codex",570304,526381,5284236,5810617,0.9903,13.5153,False,False,False,openai/codex; openai/codex-plugin-cc; openai/codex-security; adrianhajdin/project_openai_codex; steipete/CodexBar,https://github.com/britt/llpm/issues/326; https://github.com/ss251/arcade/issues/1; https://github.com/mensfeld/code-on-incus/issues/698,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
MongoDB Atlas,"""mongodb atlas"" in:name,description,readme","""mongodb atlas""",424576,6668,12574,19242,0.7364,0.0413,False,False,False,bradtraversy/node_passport_login; mongodb-developer/mern-stack-example; jaiswaladi246/3-Tier-Full-Stack; OWASP/NodeGoat; mongodb/mongodb-atlas-kubernetes,https://github.com/luroblesf/CSE-341-Team07/issues/8; https://github.com/recondesigns/simon-thing/issues/37; https://github.com/langchain4j/langchain4j/issues/5980,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Airflow,"airflow OR apache-airflow in:name,description,readme",airflow OR apache-airflow,177086,12278,68933,81211,0.3053,0.1855,False,False,False,apache/airflow; jghoman/awesome-apache-airflow; mingrammer/diagrams; puckel/docker-airflow; tuanavu/airflow-tutorial,https://github.com/tangpingqingwa/hartevo-desktop/issues/404; https://github.com/edadou-byte/data-architect-roadmap/issues/8; https://github.com/sassoftware/sas-airflow-provider/issues/54,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GitHub,"github in:name,description,readme",github,57409832,6547386,36436107,42983493,100.0,100.0,False,False,False,phodal/github; github-tools/github; atom/github; piotrmurach/github; isaacs/github,https://github.com/sujithmolakala/repoready-extension/issues/19; https://github.com/web1992/github-trending/issues/892; https://github.com/lwintinmg19-creator/Pyae-Phyo/issues/1,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Ruby,"ruby in:name,description,readme",ruby,2390927,56587,692865,749452,4.1616,1.7402,False,False,False,ruby/ruby; airbnb/ruby; exercism/ruby; TheAlgorithms/Ruby; docker-library/ruby,https://github.com/GoogleChrome/modern-web-guidance-src/issues/1306; https://github.com/ruby/ipaddr/issues/119; https://github.com/XRPLF/xrpl-dev-portal/issues/3832,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
C#,"csharp OR ""c#"" in:name,description,readme","csharp OR ""c#""",13057765,1658388,4712969,6371357,22.7424,14.8199,False,False,False,exercism/csharp; kubernetes-client/csharp; grpc/grpc; supabase/supabase; zed-extensions/csharp,https://github.com/cryptomkt/cryptomkt-java/issues/24; https://github.com/thekaveh/VMx/issues/56; https://github.com/GlacierEQ/the-tower-of-babel/issues/35,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
MCP,"""model context protocol"" OR ""mcp server"" in:name,description,readme","""model context protocol"" OR ""mcp server""",572000,268877,919094,1187971,0.9932,2.7604,False,False,False,modelcontextprotocol/servers; wong2/awesome-mcp-servers; appcypher/awesome-mcp-servers; modelcontextprotocol/python-sdk; haris-musa/excel-mcp-server,https://github.com/raycast/extensions/issues/30172; https://github.com/enrique-amador/ai-freelancer-roadmap/issues/7; https://github.com/juanfarcik/create-agent-project/issues/8,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Grafana,"Grafana in:name,description,readme",Grafana,402098,99924,283957,383881,0.6973,0.8897,False,False,False,grafana/grafana; sous-chefs/grafana; grafana/loki; stefanprodan/dockprom; grafana/k6,https://github.com/Pharmacie-Centrale-De-Tunisie/Back-End/issues/22; https://github.com/devopspracticeonly/prometheus/issues/2; https://github.com/LucasSaladini/slowpace-web/issues/113,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
TensorFlow,"TensorFlow in:name,description,readme",TensorFlow,1025520,13224,61947,75171,1.7832,0.1714,False,False,False,tensorflow/tensorflow; romeokienzler/TensorFlow; yao62995/tensorflow; deeplearningzerotoall/TensorFlow; rstudio/tensorflow,https://github.com/HARRY5432/hindi-roberta-pretraining/issues/59; https://github.com/khmyznikov/PyEnv-WoA-State/issues/47; https://github.com/cms-sw/cmsdist/issues/10716,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
